step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
1,1763772474.395429,20.05940818786621,5.548373699188232,7.892294883728027,4.492255687713623,2.12648344039917,,,256.81955025338436,8.004611220817617,,,0.03125,0,17.398351669311523,0,0.0625,0,0.025,0.0625,12.913145553473674,12.87515926361084,4.6050207754656904e-05,214.02667784690857,1.196112571457632
2,1763772689.5982616,20.45159149169922,5.56188440322876,8.221917152404785,4.494107723236084,2.1736810207366943,28.17885856628418,5.473326921463013,260.31290891679276,8.024103046535803,238.25146484375,7.896341606758746,0.03125,0,17.53270721435547,0,0.125,0,0.05,0.125,12.194957729233835,12.154656410217285,4.073170016590668e-05,215.20283269882202,1.1895754195683563
3,1763774351.0090742,29.302377700805664,5.511688709259033,8.801705360412598,4.194988250732422,10.793994903564453,,,247.56884606798633,7.9516859677717,,,0.0312500037252903,0,17.80808448791504,0,0.1875,0,0.07500000000000001,0.1875,24.248585870875463,24.227800369262695,0.0003799178593671238,218.5310640335083,1.1714581683487635
4,1763774581.780985,29.636455535888672,5.017574310302734,9.518951416015625,3.5139718055725098,11.585957527160645,31.516208839416503,5.412724494934082,151.04447204425693,7.238829574765616,224.24169921875,7.808910786539619,0.03125,0,13.250171661376953,0,0.25,0,0.1,0.25,21.496070349596398,21.48064613342285,0.007348802509618689,230.771910905838,1.109320449768498
5,1763776395.6313407,33.23223876953125,5.511602401733398,9.653141975402832,2.9864284992218018,15.081066131591797,,,247.5474799355002,7.9515614523324745,,,0.03125,0,14.157679557800293,0,0.24970859289169312,0,0.09988343715667725,0.24970859289169312,22.47269219540522,22.46186637878418,0.0031732842699373678,238.35596418380737,1.0740238905982922
6,1763776637.6208577,31.019092559814453,4.595426082611084,11.65920352935791,2.420386552810669,12.344075202941895,25.468613624572754,4.461631774902344,99.03032165767411,6.629798420154807,86.62875366210938,6.436774035924236,0.03125,0,6.574789047241211,0,0.2488357424736023,0,0.09953429698944093,0.2488357424736023,22.48222960404743,22.469602584838867,0.003878801263723257,241.98951697349548,1.0578970659627336
7,1763778487.0640645,29.911928176879883,4.479567050933838,10.081573486328125,2.4415712356567383,12.909215927124023,,,88.19647982488956,6.462649169711847,,,0.03125,0,1.807586669921875,0,0.24738551676273346,0,0.09895420670509339,0.24738551676273346,22.466454343727737,22.44793701171875,0.00033207535558094504,241.01416873931885,1.0621782169034628
8,1763778729.20687,27.86486053466797,4.220930099487305,8.57584285736084,2.527318239212036,12.540769577026367,16.38769187927246,4.182642555236816,68.09679163477769,6.089514922469293,65.53881072998047,6.034277672251297,0.03125,0,4.756229400634766,0,0.24536466598510742,0,0.09814586639404298,0.24536466598510742,21.84325324855371,21.840614318847656,0.0001275910394211492,242.14280557632446,1.0572273637892895
9,1763780588.9840543,21.55217742919922,4.201555252075195,7.666952133178711,2.567866563796997,7.115803241729736,,,66.79012578824015,6.061562926189863,,,0.03125,0,4.780635356903076,0,0.24278263002634048,0,0.0971130520105362,0.24278263002634048,19.075153655759436,19.061607360839844,0.00019858172009722157,244.05058360099792,1.048962867544453
10,1763780833.0376794,23.858781814575195,4.131140232086182,8.35964298248291,2.535276174545288,8.832721710205078,16.413029766082765,4.137322616577149,62.24886063257705,5.959975526047616,62.6348876953125,5.968894821493603,0.0312500037252903,0,2.6000776290893555,0,0.23965142667293549,0,0.0958605706691742,0.23965142667293549,19.761185413130086,19.76041603088379,0.00042264218236376074,244.05362510681152,1.0489497948983961
11,1763782710.506053,22.712825775146484,4.185819149017334,7.88377046585083,2.551152467727661,8.092084884643555,,,65.74733572981569,6.038860528345369,,,0.0312500037252903,0,1.8437652587890625,0,0.2359856739640236,0,0.09439426958560944,0.2359856739640236,18.384733520215914,18.340286254882812,0.000655357097533245,245.32798171043396,1.0435010234672801
